candidate_id,canonical_name,english_name,aliases,type,subtype,primary_domain,subdomain,secondary_domains,disciplines,priority,knowledge_level,stability,dependencies,recommended_batch,educational_reason,bridge_concept,duplicate_risk,candidate_status,editorial_status,verification_status,blocking_decision,notes
candidate-jerarquia-de-memoria,Jerarquía de memoria,Memory Hierarchy,,model,,domain-sistemas-computo-ciberfisicos,sistemas operativos,,,essential,contextual-understanding,stable-foundation,candidate-sistema-de-computo,batch-008-systems-networking-core,"Candidato para reconocer Jerarquía de memoria, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-proceso-de-sistema-operativo,Proceso de sistema operativo,Operating System Process,,concept,,domain-sistemas-computo-ciberfisicos,embebidos y firmware,,,essential,contextual-understanding,stable-foundation,candidate-sistema-operativo,batch-008-systems-networking-core,"Candidato para reconocer Proceso de sistema operativo, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,medium: no confundir con process como forma de trabajo,mandatory,planned,pending,,
candidate-thread,Thread,Thread,,concept,,domain-sistemas-computo-ciberfisicos,IoT y sistemas ciberfísicos,,,essential,contextual-understanding,stable-foundation,candidate-proceso-de-sistema-operativo,batch-008-systems-networking-core,"Candidato para reconocer Thread, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-sistema-embebido,Sistema embebido,Embedded System,,concept,,domain-sistemas-computo-ciberfisicos,hardware y arquitectura de computadores,,,essential,contextual-understanding,stable-foundation,,batch-008-systems-networking-core,"Candidato para reconocer Sistema embebido, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-cpu,CPU,Central Processing Unit,procesador,technology,,domain-sistemas-computo-ciberfisicos,sistemas operativos,,,essential,contextual-understanding,changing-technology,,batch-018-specifications-implementations-core,"Candidato para reconocer CPU, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-instruction-set-architecture,Instruction Set Architecture,Instruction Set Architecture,ISA,technology,,domain-sistemas-computo-ciberfisicos,embebidos y firmware,,,essential,contextual-understanding,changing-technology,,batch-018-specifications-implementations-core,"Candidato para reconocer Instruction Set Architecture, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,medium: architecture no significa arquitectura de software,mandatory,planned,pending,,
candidate-sistema-operativo,Sistema operativo,Operating System,OS,technology,,domain-sistemas-computo-ciberfisicos,IoT y sistemas ciberfísicos,domain-desarrollo-software|domain-infraestructura-operacion,,important,contextual-understanding,changing-technology,candidate-sistema-de-computo,batch-018-specifications-implementations-core,"Candidato para reconocer Sistema operativo, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",yes,low,recommended,planned,pending,,
candidate-file-system,File system,File System,,technology,,domain-sistemas-computo-ciberfisicos,hardware y arquitectura de computadores,,,important,contextual-understanding,changing-technology,,batch-018-specifications-implementations-core,"Candidato para reconocer File system, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,recommended,planned,pending,,
candidate-firmware,Firmware,Firmware,,technology,,domain-sistemas-computo-ciberfisicos,sistemas operativos,,,important,recognition,changing-technology,candidate-sistema-de-computo,batch-018-specifications-implementations-core,"Candidato para reconocer Firmware, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,recommended,planned,pending,,
candidate-internet-of-things,Internet of Things,Internet of Things,IoT|Internet de las cosas,technology,,domain-sistemas-computo-ciberfisicos,embebidos y firmware,,,emerging,recognition,emerging,candidate-sistema-embebido,batch-018-specifications-implementations-core,"Candidato para reconocer Internet of Things, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,optional,planned,pending,,"Requiere incertidumbre explícita, evidencia suficiente y revisión futura."
candidate-software,Software,Software,,concept,,domain-desarrollo-software,desarrollo web frontend,domain-ingenieria-software|domain-integracion-sistemas-empresariales|domain-producto-experiencia,,essential,contextual-understanding,stable-foundation,candidate-programacion,batch-009-software-construction-core,"Candidato para reconocer Software, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",yes,low,mandatory,planned,pending,,
candidate-programacion-orientada-a-objetos,Programación orientada a objetos,Object-Oriented Programming,OOP|POO,paradigm,,domain-desarrollo-software,backend y servicios,,,essential,contextual-understanding,stable-foundation,candidate-paradigma-de-programacion,batch-009-software-construction-core,"Candidato para reconocer Programación orientada a objetos, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-programacion-funcional,Programación funcional,Functional Programming,,paradigm,,domain-desarrollo-software,desarrollo móvil,,,essential,contextual-understanding,stable-foundation,candidate-paradigma-de-programacion,batch-009-software-construction-core,"Candidato para reconocer Programación funcional, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-backend-developer,Backend Developer,Backend Developer,desarrollador backend,role,,domain-desarrollo-software,prácticas de implementación,,,essential,contextual-understanding,slow-evolution,candidate-programacion,batch-016-people-capabilities-core,"Candidato para reconocer Backend Developer, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-frontend-developer,Frontend Developer,Frontend Developer,desarrollador frontend,role,,domain-desarrollo-software,desarrollo web frontend,,,essential,contextual-understanding,slow-evolution,candidate-programacion,batch-016-people-capabilities-core,"Candidato para reconocer Frontend Developer, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-debugging,Debugging,Debugging,,competency,,domain-desarrollo-software,backend y servicios,,,essential,contextual-understanding,slow-evolution,,batch-016-people-capabilities-core,"Candidato para reconocer Debugging, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-version-control,Version control,Version Control,,practice,,domain-desarrollo-software,desarrollo móvil,,,essential,contextual-understanding,slow-evolution,,batch-017-ways-of-working-core,"Candidato para reconocer Version control, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-pair-programming,Pair programming,Pair Programming,,practice,,domain-desarrollo-software,prácticas de implementación,,,essential,contextual-understanding,slow-evolution,,batch-017-ways-of-working-core,"Candidato para reconocer Pair programming, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-lenguaje-de-programacion,Lenguaje de programación,Programming Language,,technology,,domain-desarrollo-software,desarrollo web frontend,,,essential,contextual-understanding,changing-technology,,batch-018-specifications-implementations-core,"Candidato para reconocer Lenguaje de programación, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-compiler,Compiler,Compiler,,tool,,domain-desarrollo-software,backend y servicios,,,important,contextual-understanding,changing-tool-product,candidate-lenguaje-de-programacion,batch-018-specifications-implementations-core,"Candidato para reconocer Compiler, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,recommended,planned,pending,,
candidate-interpreter,Interpreter,Interpreter,,tool,,domain-desarrollo-software,desarrollo móvil,,,important,contextual-understanding,changing-tool-product,candidate-lenguaje-de-programacion,batch-018-specifications-implementations-core,"Candidato para reconocer Interpreter, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,recommended,planned,pending,,
candidate-runtime-environment,Runtime environment,Runtime Environment,,platform,,domain-desarrollo-software,prácticas de implementación,,,important,contextual-understanding,changing-tool-product,candidate-lenguaje-de-programacion,batch-018-specifications-implementations-core,"Candidato para reconocer Runtime environment, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,recommended,planned,pending,,
candidate-git,Git,Git,,tool,,domain-desarrollo-software,desarrollo web frontend,,,important,recognition,changing-tool-product,candidate-version-control,batch-018-specifications-implementations-core,"Candidato para reconocer Git, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,medium: separar herramienta de version control,recommended,planned,pending,,
candidate-dependency-injection,Dependency Injection,Dependency Injection,,pattern,,domain-desarrollo-software,backend y servicios,,,specialized,recognition,slow-evolution,,batch-009-software-construction-core,"Candidato para reconocer Dependency Injection, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,"medium: puede nombrar patrón, técnica o mecanismo de framework",optional,planned,pending,,
candidate-source-code,Source code,Source Code,,artifact,,domain-desarrollo-software,desarrollo móvil,,,specialized,recognition,slow-evolution,,batch-019-artifacts-measurement-core,"Candidato para reconocer Source code, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,optional,planned,pending,,
candidate-calidad-de-software,Calidad de software,Software Quality,,concept,,domain-ingenieria-software,ingeniería de requisitos,domain-desarrollo-software|domain-infraestructura-operacion|domain-producto-experiencia,quality,essential,contextual-understanding,stable-foundation,,batch-010-software-engineering-core,"Candidato para reconocer Calidad de software, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",yes,low,mandatory,planned,pending,,
candidate-technical-debt,Technical debt,Technical Debt,,concept,,domain-ingenieria-software,diseño y arquitectura de software,,,essential,contextual-understanding,stable-foundation,,batch-010-software-engineering-core,"Candidato para reconocer Technical debt, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-software-architect,Software Architect,Software Architect,,role,,domain-ingenieria-software,ciclo de vida y evolución,,,essential,contextual-understanding,slow-evolution,,batch-016-people-capabilities-core,"Candidato para reconocer Software Architect, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-analisis-de-requisitos,Análisis de requisitos,Requirements Analysis,,competency,,domain-ingenieria-software,calidad y pruebas,,,essential,contextual-understanding,slow-evolution,,batch-016-people-capabilities-core,"Candidato para reconocer Análisis de requisitos, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-requirements-engineering,Requirements engineering,Requirements Engineering,,process,,domain-ingenieria-software,ingeniería de requisitos,,,essential,contextual-understanding,slow-evolution,,batch-017-ways-of-working-core,"Candidato para reconocer Requirements engineering, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-code-review,Code review,Code Review,,practice,,domain-ingenieria-software,diseño y arquitectura de software,,,essential,contextual-understanding,slow-evolution,candidate-source-code,batch-017-ways-of-working-core,"Candidato para reconocer Code review, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-continuous-integration,Continuous Integration,Continuous Integration,CI|integración continua,practice,,domain-ingenieria-software,ciclo de vida y evolución,,,essential,contextual-understanding,slow-evolution,candidate-version-control,batch-017-ways-of-working-core,"Candidato para reconocer Continuous Integration, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-layered-architecture,Layered Architecture,Layered Architecture,,architectural-style,,domain-ingenieria-software,calidad y pruebas,,,essential,contextual-understanding,slow-evolution,,batch-010-software-engineering-core,"Candidato para reconocer Layered Architecture, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-microservices-architecture,Microservices Architecture,Microservices Architecture,,architectural-style,,domain-ingenieria-software,ingeniería de requisitos,,,essential,contextual-understanding,slow-evolution,,batch-010-software-engineering-core,"Candidato para reconocer Microservices Architecture, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,medium: no equivale a servicios pequeños,mandatory,planned,pending,,
candidate-hexagonal-architecture,Hexagonal Architecture,Hexagonal Architecture,,architectural-style,,domain-ingenieria-software,diseño y arquitectura de software,,,important,contextual-understanding,slow-evolution,,batch-010-software-engineering-core,"Candidato para reconocer Hexagonal Architecture, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,recommended,planned,pending,,
candidate-circuit-breaker,Circuit Breaker,Circuit Breaker,,pattern,,domain-ingenieria-software,ciclo de vida y evolución,,,important,contextual-understanding,slow-evolution,,batch-010-software-engineering-core,"Candidato para reconocer Circuit Breaker, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,recommended,planned,pending,,
candidate-repository-pattern,Repository Pattern,Repository Pattern,,pattern,,domain-ingenieria-software,calidad y pruebas,,,important,contextual-understanding,slow-evolution,,batch-010-software-engineering-core,"Candidato para reconocer Repository Pattern, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,medium: no confundir con repositorio de código,recommended,planned,pending,,
candidate-strangler-fig-pattern,Strangler Fig Pattern,Strangler Fig Pattern,,pattern,,domain-ingenieria-software,ingeniería de requisitos,,,important,contextual-understanding,slow-evolution,,batch-010-software-engineering-core,"Candidato para reconocer Strangler Fig Pattern, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,recommended,planned,pending,,
candidate-architecture-decision-record,Architecture Decision Record,Architecture Decision Record,ADR,artifact,,domain-ingenieria-software,diseño y arquitectura de software,,,specialized,recognition,slow-evolution,candidate-software-architect,batch-019-artifacts-measurement-core,"Candidato para reconocer Architecture Decision Record, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,optional,planned,pending,,
candidate-software-requirements-specification,Software Requirements Specification,Software Requirements Specification,SRS,artifact,,domain-ingenieria-software,ciclo de vida y evolución,,,specialized,recognition,slow-evolution,candidate-requirements-engineering,batch-019-artifacts-measurement-core,"Candidato para reconocer Software Requirements Specification, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,optional,planned,pending,,
candidate-red-de-computadoras,Red de computadoras,Computer Network,,concept,,domain-redes-telecomunicaciones,fundamentos y protocolos,domain-sistemas-computo-ciberfisicos|domain-infraestructura-operacion|domain-integracion-sistemas-empresariales,,essential,contextual-understanding,stable-foundation,candidate-sistema-de-computo,batch-008-systems-networking-core,"Candidato para reconocer Red de computadoras, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",yes,low,mandatory,planned,pending,,
candidate-network-engineer,Network Engineer,Network Engineer,,role,,domain-redes-telecomunicaciones,redes empresariales,,,essential,contextual-understanding,slow-evolution,,batch-016-people-capabilities-core,"Candidato para reconocer Network Engineer, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-diagnostico-de-redes,Diagnóstico de redes,Network Troubleshooting,,competency,,domain-redes-telecomunicaciones,Internet y servicios de red,,,essential,contextual-understanding,slow-evolution,,batch-016-people-capabilities-core,"Candidato para reconocer Diagnóstico de redes, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-routing,Routing,Routing,,process,,domain-redes-telecomunicaciones,operación de redes,,,essential,contextual-understanding,slow-evolution,,batch-017-ways-of-working-core,"Candidato para reconocer Routing, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-internet-protocol,Internet Protocol,Internet Protocol,IP,protocol,,domain-redes-telecomunicaciones,fundamentos y protocolos,,,essential,contextual-understanding,versioned-standard,,batch-018-specifications-implementations-core,"Candidato para reconocer Internet Protocol, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-transmission-control-protocol,Transmission Control Protocol,Transmission Control Protocol,TCP,protocol,,domain-redes-telecomunicaciones,redes empresariales,,,essential,contextual-understanding,versioned-standard,candidate-internet-protocol,batch-018-specifications-implementations-core,"Candidato para reconocer Transmission Control Protocol, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-user-datagram-protocol,User Datagram Protocol,User Datagram Protocol,UDP,protocol,,domain-redes-telecomunicaciones,Internet y servicios de red,,,essential,contextual-understanding,versioned-standard,candidate-internet-protocol,batch-018-specifications-implementations-core,"Candidato para reconocer User Datagram Protocol, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-domain-name-system,Domain Name System,Domain Name System,DNS,protocol,,domain-redes-telecomunicaciones,operación de redes,,,important,contextual-understanding,versioned-standard,candidate-internet-protocol,batch-018-specifications-implementations-core,"Candidato para reconocer Domain Name System, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,medium: puede aparecer como protocolo y servicio,recommended,planned,pending,,
candidate-wi-fi,Wi-Fi,Wi-Fi,,standard,,domain-redes-telecomunicaciones,fundamentos y protocolos,,,important,contextual-understanding,versioned-standard,,batch-018-specifications-implementations-core,"Candidato para reconocer Wi-Fi, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,recommended,planned,pending,,
candidate-ethernet,Ethernet,Ethernet,,standard,,domain-redes-telecomunicaciones,redes empresariales,,,important,recognition,versioned-standard,,batch-018-specifications-implementations-core,"Candidato para reconocer Ethernet, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,recommended,planned,pending,,
candidate-latencia,Latencia,Latency,,metric,,domain-redes-telecomunicaciones,Internet y servicios de red,,,specialized,recognition,slow-evolution,,batch-019-artifacts-measurement-core,"Candidato para reconocer Latencia, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,medium: distinguir propiedad de su medición,optional,planned,pending,,
candidate-observabilidad,Observabilidad,Observability,,concept,,domain-infraestructura-operacion,"infraestructura, virtualización y cloud",domain-ingenieria-software|domain-redes-telecomunicaciones|domain-datos-analitica|domain-inteligencia-artificial,observability,essential,contextual-understanding,stable-foundation,,batch-011-infrastructure-security-core,"Candidato para reconocer Observabilidad, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",yes,low,mandatory,planned,pending,,
candidate-devops,DevOps,DevOps,,conceptual-orientation,,domain-infraestructura-operacion,contenedores y orquestación,,,essential,contextual-understanding,stable-foundation,,batch-011-infrastructure-security-core,"Candidato para reconocer DevOps, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,"medium: no es herramienta, puesto ni equipo universal",mandatory,planned,pending,,
candidate-site-reliability-engineer,Site Reliability Engineer,Site Reliability Engineer,SRE,role,,domain-infraestructura-operacion,"entrega, automatización DevOps e ingeniería de plataformas",,,essential,contextual-understanding,slow-evolution,,batch-016-people-capabilities-core,"Candidato para reconocer Site Reliability Engineer, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,"medium: SRE puede nombrar disciplina, rol o equipo",mandatory,planned,pending,,
candidate-platform-engineer,Platform Engineer,Platform Engineer,,role,,domain-infraestructura-operacion,"confiabilidad, SRE y observabilidad",,,essential,contextual-understanding,slow-evolution,,batch-016-people-capabilities-core,"Candidato para reconocer Platform Engineer, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,medium: separar rol de Platform Engineering,mandatory,planned,pending,,
candidate-coordinacion-de-incidentes,Coordinación de incidentes,Incident Coordination,,competency,,domain-infraestructura-operacion,"infraestructura, virtualización y cloud",,,essential,contextual-understanding,slow-evolution,,batch-016-people-capabilities-core,"Candidato para reconocer Coordinación de incidentes, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-infrastructure-as-code,Infrastructure as Code,Infrastructure as Code,IaC|infraestructura como código,practice,,domain-infraestructura-operacion,contenedores y orquestación,,,essential,contextual-understanding,slow-evolution,,batch-017-ways-of-working-core,"Candidato para reconocer Infrastructure as Code, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-monitoring,Monitoring,Monitoring,,practice,,domain-infraestructura-operacion,"entrega, automatización DevOps e ingeniería de plataformas",,,essential,contextual-understanding,slow-evolution,,batch-017-ways-of-working-core,"Candidato para reconocer Monitoring, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,medium: no tratar como sinónimo de observabilidad,mandatory,planned,pending,,
candidate-incident-management,Incident management,Incident Management,,process,,domain-infraestructura-operacion,"confiabilidad, SRE y observabilidad",,,essential,contextual-understanding,slow-evolution,,batch-017-ways-of-working-core,"Candidato para reconocer Incident management, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-cloud-computing,Cloud computing,Cloud Computing,,technology,,domain-infraestructura-operacion,"infraestructura, virtualización y cloud",domain-redes-telecomunicaciones|domain-ciberseguridad-riesgo|domain-datos-analitica,,essential,contextual-understanding,changing-technology,candidate-sistema-de-computo|candidate-red-de-computadoras,batch-018-specifications-implementations-core,"Candidato para reconocer Cloud computing, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",yes,low,mandatory,planned,pending,,
candidate-virtualizacion,Virtualización,Virtualization,,technology,,domain-infraestructura-operacion,contenedores y orquestación,,,essential,contextual-understanding,changing-technology,candidate-sistema-operativo,batch-018-specifications-implementations-core,"Candidato para reconocer Virtualización, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-container,Container,Container,,technology,,domain-infraestructura-operacion,"entrega, automatización DevOps e ingeniería de plataformas",,,important,contextual-understanding,changing-technology,candidate-sistema-operativo,batch-018-specifications-implementations-core,"Candidato para reconocer Container, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,recommended,planned,pending,,
candidate-kubernetes,Kubernetes,Kubernetes,K8s,platform,,domain-infraestructura-operacion,"confiabilidad, SRE y observabilidad",,,important,contextual-understanding,changing-tool-product,candidate-container,batch-018-specifications-implementations-core,"Candidato para reconocer Kubernetes, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,recommended,planned,pending,,
